overlap_bin_main,source_signature,row_count,taxonomy_group,bacdive_status_closure,metatraits_covered
metatraits_only,proteome:UP000000578,5,target_archaea,bacdive_not_found,True
bacdive_only,proteome:UP000007843,2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:29549|organism:rhodothermus marinus (rhodothermus obamensis),5,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:2173|organism:methanobrevibacter smithii,5,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:817|organism:bacteroides fragilis,6,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:373|organism:agrobacterium vitis (rhizobium vitis),37,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,taxon:272131|organism:nostoc punctiforme,2,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:118118|organism:buchnera aphidicola subsp. uroleucon sonchi,3,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:118117|organism:buchnera aphidicola subsp. uroleucon ambrosiae,4,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:837|organism:porphyromonas gingivalis (bacteroides gingivalis),1,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000001296,2,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,taxon:523841|organism:haloferax mediterranei (strain atcc 33500 / dsm 1411 / jcm 8866 / nbrc 14739 / ncimb 2177 / r-4) (halobacterium mediterranei),10,target_archaea,bacdive_exact_culture_collection,False
metatraits_only,proteome:UP000014070,1,target_archaea,bacdive_not_found,True
bacdive_only,proteome:UP000008514,1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001635,1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000011559,1,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000011571,1,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001059,6,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000000391,5,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000008680,9,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000006622,3,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000007360,1,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,taxon:143495|organism:aneurinibacillus thermoaerophilus,9,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:264691|organism:anabaena variabilis,2,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:526|organism:acidiphilium rubrum,4,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:331636|organism:chlamydophila psittaci (strain atcc vr-125 / 6bc) (chlamydia psittaci),3,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:1126|organism:microcystis aeruginosa,6,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000007485,4,target_archaea,bacdive_not_found,True
bacdive_only,proteome:UP000001903,10,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001882,7,target_archaea,bacdive_exact_culture_collection,False
metatraits_only,taxon:1921421|organism:geobacillus genomosp. 3,3,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000005475,2,target_bacteria,bacdive_exact_genome,False
bacdive_only,taxon:28454|organism:sphingobacterium multivorum,2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:258|organism:sphingobacterium spiritivorum (flavobacterium spiritivorum),2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000002061,6,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000002063,6,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,taxon:59374|organism:fibrobacter succinogenes (strain atcc 19169 / s85),6,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:48984|organism:pantoea agglomerans pv. gypsophilae (erwinia herbicola),2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:359|organism:rhizobium rhizogenes (agrobacterium rhizogenes),6,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:39152|organism:methanococcus maripaludis (methanococcus deltae),3,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:640131|organism:klebsiella variicola (strain at-22),10,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000001702,10,target_bacteria,bacdive_species_candidate_unvalidated,True
bacdive_only,proteome:UP000005629,7,target_archaea,bacdive_exact_genome,False
bacdive_only,taxon:385|organism:rhizobium leguminosarum bv. phaseoli,4,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:350893|organism:flavobacterium daejeonense,1,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000198757,1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:641143|organism:capnocytophaga granulosa (strain atcc 51502 / dsm 11449 / jcm 8566 / lmg 16022 / nctc 12948 / b0611),2,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:1220575|organism:sphingobacterium faecium (strain dsm 11690 / jcm 21820 / nbrc 15299 / ncimb 13408 / ks 0470),1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000183442,4,target_archaea,bacdive_exact_culture_collection,False
metatraits_only,taxon:72607|organism:acinetobacter genomosp. 13,1,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:399|organism:neorhizobium galegae (rhizobium galegae),1,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000007842,15,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:787|organism:rickettsia australis,1,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:786|organism:rickettsia akari,1,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:35789|organism:rickettsia helvetica,3,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:35792|organism:rickettsia parkeri,3,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:33992|organism:rickettsia rhipicephali,3,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:33990|organism:rickettsia bellii,1,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000005443,1,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000008630,1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000008560,3,target_bacteria,bacdive_exact_designation,False
metatraits_only,proteome:UP000033699,16,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000002071,2,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000000390,3,target_archaea,bacdive_exact_genome,False
bacdive_only,proteome:UP000001746,3,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001879,4,target_archaea,bacdive_exact_genome,False
bacdive_only,proteome:UP000006565,1,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000001495,7,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000007722,5,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000005438,2,target_bacteria,bacdive_exact_genome,False
bacdive_only,proteome:UP000009227,3,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000009296,2,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000007807,2,target_archaea,bacdive_exact_culture_collection,False
