trait_name,group_1,group_2,unit,source_count,fraction_of_2478,fraction_of_metatraits_covered_1638
utilizes: citrate,Metabolism,Utilizes metabolite,boolean,1582,0.638418,0.965812
utilizes: galactarate,Metabolism,Utilizes metabolite,boolean,1582,0.638418,0.965812
oxygen preference,Environmental preferences,Atmosphere,factor,1528,0.616626,0.932845
cell shape,Morphology,Cell morphology,factor,1506,0.607748,0.919414
biosafety level,Safety,Biosafety level,factor,1477,0.596045,0.901709
temperature preference,Environmental preferences,Temperature,factor,1279,0.516142,0.78083
produces: indole,Metabolism,Produces metabolite,boolean,1077,0.434625,0.657509
enzyme activity: beta-galactosidase (EC3.2.1.23),Enzymes,Enzyme activity,boolean,1030,0.415658,0.628816
enzyme activity: alpha-glucosidase (EC3.2.1.20),Enzymes,Enzyme activity,boolean,1024,0.413236,0.625153
enzyme activity: alpha-galactosidase (EC3.2.1.22),Enzymes,Enzyme activity,boolean,1020,0.411622,0.622711
enzyme activity: alpha-fucosidase (EC3.2.1.51),Enzymes,Enzyme activity,boolean,1019,0.411219,0.6221
enzyme activity: alpha-chymotrypsin (EC3.4.21.1),Enzymes,Enzyme activity,boolean,991,0.399919,0.605006
enzyme activity: acid phosphatase (EC3.1.3.2),Enzymes,Enzyme activity,boolean,990,0.399516,0.604396
enzyme activity: alpha-mannosidase (EC3.2.1.24),Enzymes,Enzyme activity,boolean,990,0.399516,0.604396
enzyme activity: beta-glucosidase (EC3.2.1.21),Enzymes,Enzyme activity,boolean,877,0.353914,0.535409
hydrolysis: arginine,Metabolism,Hydrolase activity,boolean,845,0.341001,0.515873
enzyme activity: alcohol dehydrogenase (EC1.1.1.1),Enzymes,Enzyme activity,boolean,790,0.318805,0.482295
builds acid from: cellobiose,Metabolism,Builds acid from,boolean,698,0.281679,0.426129
builds acid from: D-arabitol,Metabolism,Builds acid from,boolean,689,0.278047,0.420635
builds acid from: D-arabinose,Metabolism,Builds acid from,boolean,649,0.261905,0.396215
builds acid from: arbutin,Metabolism,Builds acid from,boolean,649,0.261905,0.396215
builds acid from: amygdalin,Metabolism,Builds acid from,boolean,645,0.260291,0.393773
enzyme activity: beta-glucuronidase (EC3.2.1.31),Enzymes,Enzyme activity,boolean,642,0.25908,0.391941
builds acid from: D-fructose,Metabolism,Builds acid from,boolean,637,0.257062,0.388889
builds acid from: D-glucose,Metabolism,Builds acid from,boolean,633,0.255448,0.386447
produces: acetoin,Metabolism,Produces metabolite,boolean,622,0.251009,0.379731
builds acid from: D-fucose,Metabolism,Builds acid from,boolean,619,0.249798,0.3779
fermentation: D-glucose,Metabolism,Fermentation,boolean,596,0.240517,0.363858
builds acid from: D-galactose,Metabolism,Builds acid from,boolean,577,0.232849,0.352259
salinity preference,Environmental preferences,Salinity,factor,563,0.227199,0.343712
enzyme activity: urease (EC3.5.1.5),Enzymes,Enzyme activity,boolean,522,0.210654,0.318681
builds acid from: D-lyxose,Metabolism,Builds acid from,boolean,512,0.206618,0.312576
builds acid from: D-mannitol,Metabolism,Builds acid from,boolean,509,0.205408,0.310745
enzyme activity: gelatinase,Enzymes,Enzyme activity,boolean,509,0.205408,0.310745
carbon source: citrate,Metabolism,Carbon utilization,boolean,506,0.204197,0.308913
enzyme activity: amylase,Enzymes,Enzyme activity,boolean,474,0.191283,0.289377
assimilation: citrate,Metabolism,Assimilation,boolean,466,0.188055,0.284493
fermentation: D-mannitol,Metabolism,Fermentation,boolean,440,0.177563,0.26862
enzyme activity: cytochrome oxidase (EC1.9.3.1),Enzymes,Enzyme activity,boolean,407,0.164245,0.248474
assimilation: D-glucose,Metabolism,Assimilation,boolean,370,0.149314,0.225885
generalism score,Habitat,Generalism,score,356,0.143664,0.217338
